Time(s),CH1V,CH2V
-2.500000e-02,2.495467e+00,2.166267e+00
-2.495000e-02,-2.508933e+00,1.985733e+00
-2.490000e-02,-2.501467e+00,1.811867e+00
-2.485000e-02,-2.501467e+00,1.645467e+00
-2.480000e-02,-2.500400e+00,1.493733e+00
-2.475000e-02,-2.497600e+00,1.358400e+00
-2.470000e-02,-2.502667e+00,1.214133e+00
-2.465000e-02,-2.502133e+00,1.093467e+00
-2.460000e-02,-2.498133e+00,9.774667e-01
-2.455000e-02,-2.495200e+00,8.477333e-01
-2.450000e-02,-2.496933e+00,7.441334e-01
-2.445000e-02,-2.507200e+00,6.405333e-01
-2.440000e-02,-2.498133e+00,5.381333e-01
-2.435000e-02,-2.503733e+00,4.424000e-01
-2.430000e-02,-2.496933e+00,3.490667e-01
-2.425000e-02,-2.505467e+00,2.561333e-01
-2.420000e-02,-2.493600e+00,1.916000e-01
-2.415000e-02,-2.493600e+00,9.200000e-02
-2.410000e-02,-2.494667e+00,9.333333e-03
-2.405000e-02,-2.510000e+00,-6.653333e-02
-2.400000e-02,-2.495867e+00,-1.526667e-01
-2.395000e-02,-2.500400e+00,-2.114667e-01
-2.390000e-02,-2.501467e+00,-2.908000e-01
-2.385000e-02,-2.500933e+00,-3.598667e-01
-2.380000e-02,-2.504933e+00,-4.266667e-01
-2.375000e-02,-2.505467e+00,-4.837333e-01
-2.370000e-02,-2.502667e+00,-5.466667e-01
-2.365000e-02,-2.513467e+00,-6.032000e-01
-2.360000e-02,-2.504933e+00,-6.621333e-01
-2.355000e-02,-2.498667e+00,-7.158667e-01
-2.350000e-02,-2.506000e+00,-7.788000e-01
-2.345000e-02,-2.500933e+00,-8.280000e-01
-2.340000e-02,-2.507200e+00,-8.728000e-01
-2.335000e-02,-2.503200e+00,-9.237334e-01
-2.330000e-02,-2.500400e+00,-9.757333e-01
-2.325000e-02,-2.504400e+00,-1.018800e+00
-2.320000e-02,-2.500400e+00,-1.074267e+00
-2.315000e-02,-2.511733e+00,-1.113333e+00
